시군구명,2016,2017,2018,2019
가평군,126.0,189.0,229.0,249.0
강남구,1524.0,1663.0,2000.0,2763.0
강동구,400.0,454.0,522.0,580.0
강릉시,426.0,585.0,667.0,728.0
강북구,147.0,236.0,256.0,259.0
강서구,402.0,628.0,816.0,954.0
강진군,50.0,63.0,68.0,70.0
강화군,121.0,161.0,185.0,191.0
거제시,290.0,399.0,409.0,416.0
거창군,77.0,101.0,95.0,95.0
경산시,297.0,404.0,425.0,443.0
경주시,598.0,693.0,826.0,905.0
계룡시,34.0,49.0,48.0,51.0
계양구,297.0,401.0,372.0,416.0
고령군,41.0,45.0,48.0,48.0
고성군,104.0,153.0,177.0,177.0
고양시 덕양구,347.0,546.0,612.0,650.0
고양시 일산동구,558.0,734.0,798.0,924.0
고양시 일산서구,299.0,426.0,455.0,466.0
고창군,56.0,75.0,81.0,83.0
고흥군,41.0,64.0,74.0,77.0
곡성군,27.0,39.0,46.0,48.0
공주시,224.0,287.0,318.0,324.0
과천시,70.0,86.0,101.0,106.0
관악구,341.0,424.0,499.0,510.0
광명시,206.0,241.0,306.0,326.0
광산구,334.0,501.0,592.0,641.0
광양시,102.0,191.0,226.0,236.0
광주시,248.0,442.0,509.0,535.0
광진구,456.0,611.0,625.0,805.0
괴산군,69.0,81.0,88.0,97.0
구례군,43.0,61.0,71.0,76.0
구로구,297.0,472.0,552.0,551.0
구리시,189.0,248.0,297.0,316.0
구미시,444.0,530.0,625.0,762.0
군산시,364.0,476.0,565.0,572.0
군위군,35.0,46.0,47.0,51.0
군포시,213.0,318.0,348.0,390.0
금산군,56.0,86.0,89.0,91.0
금정구,246.0,289.0,370.0,390.0
금천구,212.0,284.0,354.0,366.0
기장군,165.0,227.0,290.0,305.0
김제시,68.0,88.0,92.0,98.0
김천시,122.0,153.0,186.0,196.0
김포시,318.0,477.0,564.0,584.0
김해시,450.0,543.0,678.0,733.0
나주시,69.0,124.0,153.0,173.0
남구,1536.0,1899.0,2159.0,2468.0
남동구,590.0,825.0,881.0,1036.0
남양주시,535.0,787.0,902.0,952.0
남원시,100.0,157.0,177.0,193.0
남해군,88.0,110.0,111.0,112.0
노원구,342.0,504.0,524.0,545.0
논산시,171.0,233.0,239.0,237.0
단양군,47.0,67.0,83.0,85.0
달서구,564.0,636.0,737.0,769.0
달성군,152.0,250.0,299.0,302.0
담양군,68.0,118.0,144.0,156.0
당진시,205.0,247.0,304.0,315.0
대덕구,187.0,253.0,279.0,288.0
도봉구,166.0,257.0,283.0,288.0
동구,1441.0,1691.0,1965.0,2054.0
동대문구,310.0,328.0,392.0,515.0
동두천시,84.0,131.0,142.0,150.0
동래구,247.0,257.0,320.0,338.0
동작구,282.0,383.0,397.0,411.0
동해시,124.0,177.0,199.0,196.0
마포구,729.0,913.0,1120.0,1230.0
목포시,301.0,403.0,480.0,529.0
무안군,72.0,110.0,133.0,149.0
무주군,39.0,49.0,52.0,54.0
문경시,98.0,128.0,156.0,171.0
미추홀구,,,,37.0
밀양시,154.0,183.0,222.0,243.0
보령시,143.0,170.0,182.0,187.0
보성군,65.0,81.0,93.0,94.0
보은군,43.0,41.0,54.0,58.0
봉화군,26.0,45.0,52.0,51.0
부산진구,513.0,525.0,605.0,629.0
부안군,67.0,98.0,111.0,114.0
부여군,86.0,99.0,96.0,104.0
부천시,,823.0,966.0,1217.0
부천시 소사구,180.0,,,
부천시 오정구,86.0,,,
부천시 원미구,473.0,,,
부평구,542.0,633.0,707.0,816.0
북구,1168.0,1405.0,1707.0,1823.0
사상구,226.0,211.0,245.0,253.0
사천시,120.0,173.0,175.0,180.0
사하구,189.0,224.0,263.0,277.0
산청군,64.0,79.0,85.0,91.0
삼척시,110.0,157.0,164.0,167.0
상주시,111.0,139.0,160.0,216.0
서구,1876.0,2454.0,2734.0,2962.0
서귀포시,422.0,553.0,676.0,719.0
서대문구,398.0,580.0,670.0,803.0
서산시,160.0,252.0,300.0,310.0
서천군,45.0,65.0,68.0,72.0
서초구,871.0,958.0,1103.0,1360.0
성남시 분당구,803.0,1092.0,1224.0,1388.0
성남시 수정구,213.0,310.0,369.0,379.0
성남시 중원구,233.0,281.0,317.0,358.0
성동구,282.0,387.0,452.0,469.0
성북구,378.0,521.0,530.0,555.0
성주군,108.0,116.0,125.0,128.0
세종특별자치시,177.0,370.0,438.0,486.0
속초시,104.0,171.0,185.0,206.0
송파구,507.0,654.0,824.0,908.0
수성구,515.0,640.0,753.0,772.0
수영구,179.0,212.0,275.0,323.0
수원시 권선구,258.0,317.0,368.0,404.0
수원시 영통구,306.0,463.0,539.0,652.0
수원시 장안구,229.0,330.0,359.0,385.0
수원시 팔달구,456.0,477.0,555.0,718.0
순창군,29.0,34.0,40.0,40.0
순천시,360.0,546.0,613.0,668.0
시흥시,305.0,353.0,444.0,505.0
신안군,27.0,34.0,38.0,40.0
아산시,337.0,495.0,511.0,579.0
안동시,196.0,326.0,377.0,431.0
안산시 단원구,401.0,499.0,462.0,641.0
안산시 상록구,260.0,334.0,339.0,369.0
안성시,194.0,286.0,354.0,365.0
안양시 동안구,439.0,617.0,628.0,711.0
안양시 만안구,289.0,361.0,391.0,480.0
양구군,14.0,32.0,41.0,43.0
양산시,257.0,341.0,461.0,532.0
양양군,47.0,84.0,93.0,101.0
양주시,142.0,221.0,272.0,277.0
양천구,225.0,369.0,417.0,458.0
양평군,199.0,292.0,334.0,346.0
여수시,275.0,393.0,491.0,554.0
여주시,165.0,194.0,235.0,239.0
연수구,303.0,431.0,537.0,595.0
연제구,154.0,202.0,235.0,246.0
연천군,74.0,101.0,108.0,105.0
영광군,37.0,60.0,73.0,77.0
영덕군,75.0,88.0,89.0,88.0
영도구,94.0,131.0,152.0,156.0
영동군,65.0,79.0,85.0,84.0
영등포구,619.0,785.0,935.0,1000.0
영암군,33.0,60.0,72.0,72.0
영양군,27.0,28.0,29.0,29.0
영월군,57.0,74.0,83.0,84.0
영주시,96.0,140.0,149.0,170.0
영천시,152.0,184.0,175.0,187.0
예산군,126.0,176.0,175.0,180.0
예천군,34.0,41.0,41.0,44.0
오산시,160.0,256.0,302.0,320.0
옥천군,38.0,56.0,63.0,80.0
옹진군,31.0,41.0,55.0,56.0
완도군,66.0,95.0,106.0,107.0
완주군,75.0,134.0,162.0,171.0
용산구,445.0,551.0,521.0,632.0
용인시 기흥구,438.0,580.0,670.0,771.0
용인시 수지구,318.0,403.0,481.0,516.0
