지역,2015,2016,2017,2018
계,"100,295.40","100,339.50","100,363.70","100,377.70"
서울,605.3,605.2,605.2,605.2
부산,769.8,769.9,770,769.9
대구,883.6,883.6,883.6,883.5
인천,"1,049.00","1,062.60","1,063.10","1,063.30"
광주,501.2,501.2,501.2,501.2
대전,539.3,539.3,539.5,539.5
울산,"1,061.00","1,060.80","1,061.20","1,061.50"
세종,464.9,464.9,464.9,464.9
경기,"10,175.30","10,183.50","10,186.60","10,187.80"
강원,"16,826.40","16,827.10","16,827.80","16,827.90"
충북,"7,407.20","7,407.30","7,407.70","7,407.80"
충남,"8,214.00","8,226.10","8,226.40","8,229.20"
전북,"8,066.80","8,069.10","8,069.00","8,069.10"
전남,"12,312.90","12,318.80","12,335.10","12,343.60"
경북,"19,030.70","19,031.40","19,032.50","19,032.90"
경남,"10,538.80","10,539.60","10,539.80","10,540.10"
제주,"1,849.10","1,849.10","1,850.20","1,850.20"
