,면적,면적,면적,면적,면적당카페수(ea/㎢),면적당카페수(ea/㎢),면적당카페수(ea/㎢),면적당카페수(ea/㎢),시도별카페수(ea),시도별카페수(ea),시도별카페수(ea),시도별카페수(ea),인구당카페수(ea/명),인구당카페수(ea/명),인구당카페수(ea/명),인구당카페수(ea/명),전년도대비카페증감율(%),전년도대비카페증감율(%),전년도대비카페증감율(%),전년도대비카페증감율(%),총카페수(ea),총카페수(ea),총카페수(ea),총카페수(ea),총카페에대한구성비(%),총카페에대한구성비(%),총카페에대한구성비(%),총카페에대한구성비(%),카페당관할인구수(명/ea),카페당관할인구수(명/ea),카페당관할인구수(명/ea),카페당관할인구수(명/ea)
년도,2016,2017,2018,2019,2016,2017,2018,2019,2016,2017,2018,2019,2016,2017,2018,2019,2016,2017,2018,2019,2016,2017,2018,2019,2016,2017,2018,2019,2016,2017,2018,2019
시도명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원,16826.4,16827.1,16827.8,16827.9,0.13603622878334046,0.1926059748857498,0.21761608766446,0.23401612797794138,2289,3241,3662,3938,0.0014760066700799455,0.0020907761998578194,0.002373218789775069,0.0025546512427489553,0.0,41.59021406727829,12.989817957420549,7.536865101037685,57855,76477,87370,96104,3.9564428312159707,4.237875439674673,4.191370035481286,4.097644218763007,677.5037134119702,478.29126812712127,421.3686510103768,391.4428643981717
경기,10175.3,10183.5,10186.6,10187.8,1.239570332078661,1.727893160504738,1.9784815345650166,2.1815308506252578,12613,17596,20154,22225,0.0009918391290877093,0.001366796917327662,0.001541161138055049,0.0016786677246993995,0.0,39.50685800364703,14.53739486246874,10.275875756673614,57855,76477,87370,96104,21.801054360038027,23.00822469500634,23.067414444317272,23.12598851244485,1008.228018710854,731.6375880882017,648.8614170884192,595.7105061867268
경남,10538.8,10539.6,10539.8,10540.1,0.38192204046001443,0.46519792022467643,0.5270498491432475,0.5600516124135444,4025,4903,5555,5903,0.0011929916703987793,0.001450418352362617,0.0016464196078942784,0.001755511362943573,0.0,21.81366459627329,13.297980828064452,6.264626462646265,57855,76477,87370,96104,6.957047791893527,6.411077840396459,6.358017626187479,6.142304170481978,838.2288198757764,689.4562512747298,607.3785778577857,569.634592580044
경북,19030.7,19031.4,19032.5,19032.9,0.18759162826380532,0.2381853147955484,0.26969657165375016,0.29485785140467297,3570,4533,5133,5612,0.0013220273455986859,0.0016840620781021405,0.0019175659576566469,0.002105155756018,0.0,26.974789915966387,13.236267372600926,9.331774790570817,57855,76477,87370,96104,6.170598911070781,5.92727225178812,5.875014306970356,5.839507200532756,756.4140056022409,593.8023384072359,521.4944476914085,475.0242337847469
광주,501.2,501.2,501.2,501.2,3.1464485235434956,4.351556264964087,5.223463687150838,5.686352753391859,1577,2181,2618,2850,0.0010733630362901524,0.001489988181203331,0.0017939665710980887,0.0019567886146485878,0.0,38.300570703868104,20.03668042182485,8.861726508785333,57855,76477,87370,96104,2.7257799671592773,2.8518378074453756,2.9964518713517228,2.965537334554233,931.6512365250476,671.1462631820266,557.4239877769288,511.0414035087719
대구,883.6,883.6,883.6,883.5,3.504979628791308,4.078768673607967,4.755545495699411,5.127334465195246,3097,3604,4202,4530,0.0012464998790528855,0.0014560257204277096,0.0017069026378998193,0.0018580567679410149,0.0,16.370681304488212,16.592674805771367,7.80580675868634,57855,76477,87370,96104,5.35303776683087,4.712527949579612,4.809431154858647,4.71364355281778,802.2463674523732,686.8010543840177,585.8564969062353,538.1966887417218
대전,539.3,539.3,539.5,539.5,3.8327461524198037,4.924902651585389,5.642261353104726,6.094531974050047,2067,2656,3044,3288,0.0013649240278135464,0.0017680417140685128,0.002043040774905768,0.002229349027371904,0.0,28.495403967102078,14.60843373493976,8.015768725361367,57855,76477,87370,96104,3.57272491573762,3.4729395766047304,3.4840334210827515,3.421293598601515,732.6415094339623,565.597515060241,489.4664914586071,448.56143552311437
부산,769.8,769.9,770.0,769.9,4.275136399064692,4.986361865177296,5.988311688311688,6.383945967008702,3291,3839,4611,4915,0.0009406810691007564,0.001106131900826732,0.0013398410496961606,0.0014397272749375265,0.0,16.651473716195685,20.109403490492316,6.592929950119281,57855,76477,87370,96104,5.688358828104745,5.019809877479504,5.277555224905574,5.11425122783651,1063.0595563658462,904.0513154467308,746.3571893298633,694.5759918616479
서울,605.3,605.2,605.2,605.2,18.37931604163225,23.983807005948446,26.901850627891605,30.968274950429606,11125,14515,16281,18742,0.001120272901499766,0.0014724939350292865,0.001667174741437387,0.001926384405064103,0.0,30.471910112359552,12.166724078539442,15.115779129046128,57855,76477,87370,96104,19.229107250885836,18.979562482837977,18.63454274922742,19.50178972779489,892.6396404494383,679.1199448846021,599.8171488237823,519.1071924020915
세종,464.9,464.9,464.9,464.9,0.3807270380727038,0.795870079587008,0.9421380942138095,1.0453861045386106,177,370,438,486,0.0007282512096376025,0.0013209568011424491,0.001394344944385374,0.0014269984584893195,0.0,109.03954802259888,18.37837837837838,10.95890410958904,57855,76477,87370,96104,0.30593725693544205,0.4838055886083398,0.5013162412727481,0.5057021559976692,1373.1525423728813,757.027027027027,717.1826484018263,700.7716049382716
울산,1061.0,1060.8,1061.2,1061.5,1.1432610744580585,1.3857466063348416,1.6895966830003768,1.9566650965614696,1213,1470,1793,2077,0.0010347145450326878,0.0012616596231156641,0.0015515440589188687,0.0018092035062137472,0.0,21.187139323990106,21.972789115646258,15.839375348577803,57855,76477,87370,96104,2.0966208625010805,1.9221465277142147,2.0521918278585325,2.1612003662698744,966.4501236603462,792.6068027210886,644.5192414947016,552.7294174289841
