개방서비스명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,소재지면적,소재지전체주소,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,다중이용업소여부,시설총규모
식품제조가공업,20170621,,01,영업/정상,01,영업,,235.68,부산광역시 수영구 망미동 206-11번지,커피덕트(COFFEE DUCT),20180426164041,I,2018-08-31 23:59:59.0,기타 식품제조가공업,392836.99068545,188366.641614983,기타 식품제조가공업,,,N,6.15
식품제조가공업,20191219,,01,영업/정상,01,영업,,20.45,부산광역시 동래구 사직동 79-17번지,덱스커피,20191219145806,I,2019-12-21 00:23:26.0,기타 식품제조가공업,387430.355355281,190584.622420602,기타 식품제조가공업,,,N,0
식품제조가공업,20190107,,01,영업/정상,01,영업,,66.40,부산광역시 부산진구 양정동 363-73번지,마이농커피컴퍼니,20191224164157,I,2019-12-26 00:23:25.0,기타 식품제조가공업,388402.316442365,187510.45506734,기타 식품제조가공업,,,N,66.4
식품제조가공업,20110829,,01,영업/정상,01,영업,,7.40,부산광역시 연제구 거제동 79-40번지,루트커피로스터리,20200107095603,I,2020-01-09 00:23:25.0,식품제조가공업,389245.659552486,190455.558178037,식품제조가공업,,,N,0
식품제조가공업,20191105,,01,영업/정상,01,영업,,5.37,부산광역시 동래구 안락동 434-40번지,로스팅샵아지트,20191106143556,I,2019-11-08 00:23:09.0,기타 식품제조가공업,391102.970223331,190584.037619365,기타 식품제조가공업,,,N,0
식품제조가공업,20150512,,01,영업/정상,01,영업,,117.24,부산광역시 사하구 장림동 478번지,커피그리고,20191031110117,I,2019-11-02 00:23:04.0,식품제조가공업,380115.93963671,176286.917498111,식품제조가공업,,,N,0
식품제조가공업,20190924,,01,영업/정상,01,영업,,15.50,부산광역시 강서구 명지동 3358-4번지 403일부호,더블엘커피,20191001163257,U,2019-10-03 02:40:00.0,기타 식품제조가공업,375139.396937363,179373.279071448,기타 식품제조가공업,,,N,0
식품제조가공업,20190808,,01,영업/정상,01,영업,,11.70,부산광역시 사하구 다대동 355-38번지,카이커피컴퍼니(Kai Coffee Company),20190808173811,I,2019-08-10 02:21:57.0,기타 식품제조가공업,379987.422149272,174908.739614946,기타 식품제조가공업,,,N,0
식품제조가공업,20190816,,01,영업/정상,01,영업,,20.65,부산광역시 기장군 정관읍 모전리 687-3번지,빌리프커피,20190816112028,I,2019-08-18 02:22:04.0,기타 식품제조가공업,397216.64936561,206254.216244832,기타 식품제조가공업,,,N,2.4
식품제조가공업,20150818,,01,영업/정상,01,영업,,26.32,부산광역시 사하구 괴정동 1275번지 괴정엔스타,타임리스커피랩,20190820175830,I,2019-08-22 02:22:07.0,기타 식품제조가공업,381811.171878275,179710.997499038,기타 식품제조가공업,,,N,0
