구  분,"읍·면·
동 수",세   대,인   구(명),남자(인구),여자(인구),"시전체
인구에 대한
구성비(%)","면적
(㎢)","인구밀도
(명/㎢)"
부산광역시,206.0,1496361.0,3470256,1706084,1764172,100.0,769.94,4507.0
중    구,9.0,23153.0,44169,21959,22210,1.2727879441747236,2.83,15607.0
서    구,13.0,52819.0,110576,54053,56523,3.186393165230461,13.98,7910.0
동    구,12.0,44473.0,90245,44350,45895,2.6005286065350797,9.74,9265.0
영 도 구,11.0,54909.0,118962,58960,60002,3.428046806921449,14.2,8378.0
부산진구,20.0,166660.0,361542,175017,186525,10.418309196785481,29.67,12185.0
동 래 구,13.0,111867.0,272169,132577,139592,7.842908419436491,16.63,16366.0
남    구,17.0,117518.0,281507,138038,143469,8.111995195743484,26.81,10500.0
북    구,13.0,120061.0,293926,145587,148339,8.469865047420132,39.37,7466.0
해운대구,18.0,168454.0,411346,198530,212816,11.853477092179943,51.47,7992.0
사 하 구,16.0,138822.0,326902,163575,163327,9.420111945631676,41.77,7826.0
금 정 구,17.0,106984.0,244413,119219,125194,7.043082700526993,65.28,3744.0
강 서 구,8.0,53242.0,134211,71107,63104,3.867466838181391,181.49,739.0
연 제 구,12.0,90131.0,210584,101767,108817,6.068255483168965,12.1,17404.0
수 영 구,10.0,81385.0,178071,84518,93553,5.131350540133062,10.21,17441.0
사 상 구,12.0,96780.0,224455,113607,110848,6.467966628398597,36.09,6219.0
기 장 군,5.0,69103.0,167178,83220,83958,4.817454389532069,218.3,766.0
