지역,2018(면적),카페수,면적대비 카페수
서울특별시,605.2,16281,26.901850627891605
부산광역시,770.0,4611,5.988311688311688
대구광역시,883.6,4202,4.755545495699411
인천광역시,1063.1,4432,4.1689398927664385
광주광역시,501.2,2618,5.223463687150838
대전광역시,539.5,3044,5.642261353104726
울산광역시,1061.2,1793,1.6895966830003768
세종특별자치시,464.9,438,0.9421380942138095
경기도,10186.6,20154,1.9784815345650166
강원도,16827.8,3662,0.21761608766446
충청북도,7407.7,2574,0.34747627468714987
충청남도,8226.4,3760,0.45706505883497034
전라북도,8069.0,3715,0.4604040153674557
전라남도,12335.1,3309,0.2682588710265827
경상북도,19032.5,5133,0.26969657165375016
경상남도,10539.8,5555,0.5270498491432475
제주특별자치도,1850.2,2089,1.1290671278780673
